Open,High,Low,Close,Adj Close,Volume,Return,Date,Week_Number,Year,Day,Weekday,mean_return,volatility
86.65093994,90.8535614,86.1055603,88.73621368,87.36503601,30615637,3.518,7/17/2018,28,2018,17,Tuesday,4.3842,2.608500374
88.70413208,92.39345551,87.22840118,91.23853302,89.82868958,24172884,2.82,7/18/2018,28,2018,18,Wednesday,4.3842,2.608500374
92.00847626,98.93798828,90.50067139,96.91687775,95.41928864,22465016,6.224,7/19/2018,28,2018,19,Thursday,4.3842,2.608500374
97.5905838,105.6750107,96.0506897,104.5521774,102.9365997,42113359,7.878,7/20/2018,28,2018,20,Friday,4.3842,2.608500374
103.5255814,110.6154938,102.0177689,109.8455505,108.1481781,36429184,5.063,7/23/2018,29,2018,23,Monday,3.8958,4.50104479
109.7172241,120.6247864,105.9637375,119.3736267,117.5290298,84444898,8.674,7/24/2018,29,2018,24,Tuesday,3.8958,4.50104479
118.6999207,131.7248383,117.8658142,128.1959076,126.2149887,88858638,7.39,7/25/2018,29,2018,25,Wednesday,3.8958,4.50104479
124.6669998,129.5753937,121.2984848,126.8805923,124.9199982,66162047,-1.026,7/26/2018,29,2018,26,Thursday,3.8958,4.50104479
127.0730743,132.6551819,122.2288361,125.6935883,124.1426926,44416991,-0.622,7/27/2018,29,2018,27,Friday,3.8958,4.50104479
126.5277023,128.5808868,123.4158401,124.1857834,122.6535034,21685477,-1.2,7/30/2018,30,2018,30,Monday,0.2356,1.316186461
124.1216202,127.1693192,122.5817261,125.4048615,123.8575363,13956426,0.982,7/31/2018,30,2018,31,Tuesday,0.2356,1.316186461
125.7577515,126.7843475,122.9667053,123.9932938,122.4633865,8364175,-1.126,8/1/2018,30,2018,1,Wednesday,0.2356,1.316186461
123.8328934,129.4149933,119.0207291,126.0785675,124.5229263,26533948,1.682,8/2/2018,30,2018,2,Thursday,0.2356,1.316186461
124.7953186,131.0832062,124.4745102,127.1372375,125.5685196,31802007,0.84,8/3/2018,30,2018,3,Friday,0.2356,1.316186461
128.324234,129.7037201,125.8860779,127.1693192,125.6002197,13783939,0.025,8/6/2018,31,2018,6,Monday,0.1422,3.23424577
126.3993759,126.5918655,119.7585983,122.0042725,120.4989014,21206813,-4.062,8/7/2018,31,2018,7,Tuesday,0.1422,3.23424577
116.8071365,133.9063416,114.8501968,128.0996704,126.5190887,55314801,4.996,8/8/2018,31,2018,8,Wednesday,0.1422,3.23424577
130.8907166,132.7514191,127.1693192,128.5488129,126.9626999,23748439,0.351,8/9/2018,31,2018,9,Thursday,0.1422,3.23424577
128.0996704,129.5433197,125.8219147,127.778862,126.20224,14473803,-0.599,8/10/2018,31,2018,10,Friday,0.1422,3.23424577
125.7577515,127.5542908,123.6724854,124.731163,123.1921463,11210689,-2.385,8/13/2018,32,2018,13,Monday,0.5125,2.661289224
124.923645,131.7889862,124.8274002,129.7999725,128.19841,20777577,4.064,8/14/2018,32,2018,14,Tuesday,0.5125,2.661289224
127.3618088,132.1739655,127.3618088,130.1849365,128.5786285,14732446,0.297,8/16/2018,32,2018,16,Thursday,0.5125,2.661289224
129.6074829,132.6231079,128.7733765,130.281189,128.6736908,8569903,0.074,8/17/2018,32,2018,17,Friday,0.5125,2.661289224
130.3453522,137.4673462,129.7037201,136.3444977,134.6621857,30872546,4.654,8/20/2018,33,2018,20,Monday,0.72725,2.704964987
137.3069305,142.4399109,136.0557709,136.8578033,135.1691742,34411752,0.376,8/21/2018,33,2018,21,Tuesday,0.72725,2.704964987
137.6277466,138.108963,130.9548798,135.2858276,133.6165924,22438632,-1.149,8/23/2018,33,2018,23,Thursday,0.72725,2.704964987
134.740448,137.6277466,133.0401611,133.9705048,132.3174744,12187310,-0.972,8/24/2018,33,2018,24,Friday,0.72725,2.704964987
134.9329376,136.8578033,133.0080719,135.9274445,134.2502899,12303976,1.461,8/27/2018,34,2018,27,Monday,1.5944,4.14103155
136.4407501,149.1769257,134.387558,147.3803864,145.5619202,56713612,8.426,8/28/2018,34,2018,28,Tuesday,1.5944,4.14103155
148.6636353,151.8396606,141.0924988,143.2740173,141.5061951,44981172,-2.786,8/29/2018,34,2018,29,Wednesday,1.5944,4.14103155
142.7607117,148.3749084,141.0283356,143.7231445,141.9497833,44266980,0.313,8/30/2018,34,2018,30,Thursday,1.5944,4.14103155
144.3647766,146.6746063,142.6644745,144.525177,142.7419281,22107612,0.558,8/31/2018,34,2018,31,Friday,1.5944,4.14103155
145.0063934,145.9046631,130.986969,135.061264,133.3947906,31267861,-6.548,9/3/2018,35,2018,3,Monday,2.1464,10.88224611
135.3820648,138.8468323,129.6074829,134.9971008,133.3314056,45530498,-0.048,9/4/2018,35,2018,4,Tuesday,2.1464,10.88224611
133.5855255,139.0393066,132.045639,135.3499908,133.6799316,55270563,0.261,9/5/2018,35,2018,5,Wednesday,2.1464,10.88224611
150,170.6499939,139.3500061,163.6999969,161.6801605,74817700,20.946,9/6/2018,35,2018,6,Thursday,2.1464,10.88224611
165.25,169.8999939,155.6999969,157.3500061,155.4085236,42704819,-3.879,9/7/2018,35,2018,7,Friday,2.1464,10.88224611
158,158,149.6499939,150.75,148.8899384,20590646,-4.194,9/10/2018,36,2018,10,Monday,-1.068,2.39945216
151,153.6999969,146.3000031,148.25,146.4208069,15083637,-1.658,9/11/2018,36,2018,11,Tuesday,-1.068,2.39945216
148.5,150.1499939,142.75,148.8999939,147.0627594,16166704,0.438,9/12/2018,36,2018,12,Wednesday,-1.068,2.39945216
149.75,152.8999939,148.25,150.6000061,148.741806,8859644,1.142,9/14/2018,36,2018,14,Friday,-1.068,2.39945216
